measure,pattern,diff_during_pre,se_during_pre,p_during_pre,diff_after_pre,se_after_pre,p_after_pre,diff_after_during,se_after_during,p_after_during,diff_during_after,se_during_after,p_during_after,mean_pre,n_pre,mean_during,n_during,mean_after,n_after
relig,Other/mixed,-0.047070950569091594,0.033193019816875176,0.07816636576963648,-0.03080122555965716,0.03395071595410016,0.18220149676706054,0.016269725009434435,0.02966404089012581,0.291719407207949,-0.016269725009434435,0.02966404089012581,0.291719407207949,0.22335035713095328,446,0.1742395402818613,731,0.1916993443521972,653
Physical,Other/mixed,-0.2522270796216713,0.1256940339448238,0.022465690261535744,0.008685584888757883,0.12874708771413781,0.47311049615147166,0.26091266451042916,0.11200611481600001,0.009971863186891637,-0.26091266451042916,0.11200611481600001,0.009971863186891637,1.9750731634232706,446,1.718439334882575,731,1.9819909000401725,653
health,Other/mixed,-0.04349149179213775,0.0459503279321823,0.17201213031628043,0.04452287310093694,0.04701372910639915,0.17187728353521492,0.08801436489307468,0.04108239523262116,0.016147109932203484,-0.08801436489307468,0.04108239523262116,0.016147109932203484,0.3859705430955274,446,0.3426869397212233,731,0.43019094865258145,653
illness,Other/mixed,0.017203704642718656,0.01762952797693064,0.1646349825733437,0.05808255218009417,0.018036329041466775,0.0006515108841937727,0.040878847537375515,0.015762064114149408,0.004788224808835084,-0.040878847537375515,0.015762064114149408,0.004788224808835084,0.08269088758974888,446,0.09951429780413783,731,0.14041712241436613,653
wellness,Other/mixed,-0.06195653108691596,0.02739923712735103,0.011930458048094582,-0.03213032756186931,0.028013470234832687,0.1257741833972324,0.029826203525046655,0.02455223830974054,0.11229855689015479,-0.029826203525046655,0.02455223830974054,0.11229855689015479,0.09642692501493019,446,0.034479918636700545,731,0.06430859538753132,653
mental,Other/mixed,-0.024526197946416996,0.017574183034992186,0.08150512906817842,-0.030428973739655044,0.01797400289888652,0.045318340860345384,-0.005902775793238047,0.0157365516257094,0.3538149293447087,0.005902775793238047,0.0157365516257094,0.3538149293447087,0.06572644203337627,446,0.0414954569022904,731,0.03508036014767701,653
substances,No change,-0.004980445937624196,0.01345787527400988,0.355684122203841,-0.004055373267376552,0.013797349051573647,0.3844246479899865,0.0009250726702476446,0.011964498623894095,0.46918946692182073,-0.0009250726702476446,0.011964498623894095,0.46918946692182073,0.0704116151343543,446,0.06635463795047955,731,0.0667750417296836,653
sexual,Other/mixed,-0.020108184584735112,0.03829454309411072,0.2997912354893886,0.03031610023784805,0.0391662004811184,0.2195044393087418,0.05042428482258316,0.03427460204691698,0.07070663367810856,-0.05042428482258316,0.03427460204691698,0.07070663367810856,0.12993004823978496,446,0.11002614591922924,731,0.16033785309431037,653
food,No change,-0.06216727238528189,0.0793069382884686,0.216605515345911,-0.0026797610181916475,0.08121026716641276,0.4868399689734873,0.05948751136709025,0.07073234688796794,0.20022262957963038,-0.05948751136709025,0.07073234688796794,0.20022262957963038,0.6809627190885651,446,0.6186173800583179,731,0.6796033444074112,653
death,No change,0.005494936348674331,0.01676090963771641,0.37153420652855895,-0.01287227244280017,0.017149154247354786,0.22649298120475247,-0.0183672087914745,0.014962799029944714,0.10989174710455725,0.0183672087914745,0.014962799029944714,0.10989174710455725,0.10098595286366516,446,0.10503315371343759,731,0.08703608673006359,653
need,No change,0.04043737296679511,0.03449460371865675,0.12061852015333681,0.04502447934376969,0.035280254400442274,0.10102442608484759,0.004587106376974584,0.03087359633211002,0.44095190901177145,-0.004587106376974584,0.03087359633211002,0.44095190901177145,0.34041262265740974,446,0.3809068740361903,731,0.3854691605759969,653
want,No change,-0.003188141443693568,0.026564112155269333,0.45224149229058574,0.0012454274389666008,0.027209890018832863,0.4817488355073437,0.004433568882660169,0.023665360604016646,0.4257057722770336,-0.004433568882660169,0.023665360604016646,0.4257057722770336,0.3929647796645206,446,0.39267151817748047,731,0.3969945014495234,653
acquire,Other/mixed,-0.07856751854749414,0.05764410720878228,0.08652905866817005,0.026778262869080225,0.05899244779938136,0.32496765464599875,0.10534578141657436,0.051498109775629936,0.02046814712298971,-0.10534578141657436,0.051498109775629936,0.02046814712298971,0.9485628713587243,446,0.8696553653722557,731,0.9757198553850913,653
